,Nome,Partido,Estado,twitter
494,Vinicius Carvalho,PRB,São Paulo,494
495,Vinicius Poit,NOVO,São Paulo,ViniciusPoit
496,Vitor Lippi,PSDB,São Paulo,vitorlippi4510
497,Bosco Costa,PR,Sergipe,BoscoCosta_SE
498,Fábio Henrique,PDT,Sergipe,FabioHenriqueSE
499,Fábio Mitidieri,PSD,Sergipe,depfmitidieri
500,Fabio Reis,MDB,Sergipe,fabioreis1515
501,Gustinho Ribeiro,SD,Sergipe,GustinhoRibeiro
502,Joao Daniel,PT,Sergipe,JoaoDaniel1311
503,Laercio Oliveira,PP,Sergipe,LaercioFederal
504,Valdevan Noventa,PSC,Sergipe,ValdevanNoventa
505,Carlos Henrique Gaguim,DEM,Tocantins,505
506,Celio Moura,PT,Tocantins,CelioMouraTO
507,Dulce Miranda,MDB,Tocantins,507
508,Eli Borges,SD,Tocantins,elidiasborges
509,Osires Damaso,PSC,Tocantins,509
510,Professora Dorinha,DEM,Tocantins,profdorinha
511,Tiago Dimas,SD,Tocantins,tiago_dimas
512,Vicentinho Junior,PR,Tocantins,vicentinhojr
